h3_index,poi_count,count_poi_types,poi_type_list,poi_list
8826641917fffff,8,5,"place_of_worship, bicycle_rental, school, bar, community_centre, bar, place_of_worship, school","Saint Columba Roman Catholic Church, Ave O & 134th St, Henry Clay Elementary School, Club 81 Too, Hegewisch Community Center, Uncle Bobby's, Saint Hedwig Church, Saint Columba School"
882664191dfffff,5,2,"shelter, information, shelter, shelter, shelter","Picnic Shelter #1, Visitors Center, Picnic Shelter #3, Picnic Shelter #4, Picnic Shelter #2"
8826641927fffff,2,2,"artwork, fire_station",Chicago Fire Department Engine Company 80
8826641931fffff,1,1,place_of_worship,Lebanon Lutheran Church
8826641939fffff,2,2,"bicycle_rental, school","Torrence Ave & 126th Pl, Virgil Grissom Elementary School"
882664193bfffff,25,17,"hairdresser, bicycle_rental, school, post_office, place_of_worship, bar, restaurant, supermarket, bank, restaurant, mobile_phone, ice_cream, social_centre, restaurant, veterinary, variety_store, bank, supermarket, restaurant, bar, restaurant, funeral_directors, library, car_repair, place_of_worship","Supreme Cuts Barber Studio, Commercial Ave & 130th St, Saint Florian School, Hegewisch Post Office, Trinity Lutheran Church, Steve's Lounge, Doreen's Pizzeria, Eric's Food Market, First Savings Bank of Hegewisch, Chicago Pita Kitchen, Boost Mobile, Paleteria Jamay, American Legion Hall Post 272, Taquaria el Taquin, Seven Seas Pet Care Center, Family Dollar, Old Second National Bank, Baltimore Food & Liquor, China Garden, Wendol's, Los Cantaritos, Frank F. Opyt Funeral Home, Hegewisch Branch Library, Cabrales Auto Repair, Saint Florian Catholic Church"
8826641941fffff,1,1,shelter,
8826641943fffff,7,6,"bakery, bicycle_rental, school, funeral_directors, social_centre, bank, school","Poopsies Pastry, Ave L & 114th St, George Washington High School, Elmwood Funeral Chapel, Knights of Columbus Trinity Council, Byline Bank, George Washington Elementary School"
8826641945fffff,1,1,restaurant,Taco Mex
8826641949fffff,49,29,"bar, bakery, bar, fast_food, restaurant, ice_cream, hairdresser, mobile_phone, restaurant, hairdresser, mobile_phone, money_transfer, beauty, florist, pet_grooming, beauty, clothes, childcare, pharmacy, supermarket, restaurant, pharmacy, travel_agency, alcohol, cafe, place_of_worship, bank, bar, restaurant, fast_food, place_of_worship, car_repair, fire_station, social_centre, place_of_worship, ice_cream, beauty, clinic, mobile_phone, bank, place_of_worship, chemist, alcohol, post_office, library, school, restaurant, restaurant, car_parts","Small World Inn Bar & Grill, La Florencia Bakery, O’Hara’s Tavern, Waldo Cooney's Pizza, El Charro De San Francisco, Paleteria Lindo Michoacan, VIP Cutz, T-Mobile, New Hot Wok, ACE Fadezz Barbershop, Boost Mobile, Western Union, Nail Art, East Side Florist, Uncle Paws Grooming Salon, Martha's Salon, Ocampo Western Wear, Shining Star Child Development, Walgreens, La Flor, Nicky'z Gyros, Cornerstone Pharmacy, U. P. Travel & Income Tax Agency, Ewing Liquor, Colibrí Coffee, East Side Bible Church, U.S. Bank, Riverfront Saloon Inc, Los Tres Amigos 2, Gina's Chicken, East Side Baptist Church, East Side Muffler Shop, Chicago Fire Department Engine Company 74, American Legion Hall Illiana Chapter, Word Evangelistic Church, La Michoacana Premium, Eastside Beauty Salon, Chicago Family Health Center, Metro by T-Mobile, Old National Bank, Christian Fellowship Flock, Walgreens, Banner Liquors, Chicago Post Office Station W, Vodak-East Side Branch Library, Gallistel Language Academy, Gorditas Loli's, Leon's Barbeque Zone, AutoZone"
