id,poi_type,name,geometry,h3_index
20217109,ferry_terminal,Shoreline Sightseeing,POINT (-87.6225172 41.8891445),882664c1e3fffff
20217442,ferry_terminal,Union Station/Willis Tower,POINT (-87.6377402 41.8790618),882664c1adfffff
271275603,theatre,Storefront Theater,POINT (-87.6255101 41.8848116),882664c1a9fffff
282370094,convenience,7-Eleven,POINT (-87.8373006 41.9763227),88275936b1fffff
286372562,fast_food,Chipotle,POINT (-87.6492116 41.9255742),882664c107fffff
287160477,books,DePaul University Bookstore,POINT (-87.6534054 41.9260172),882664c12bfffff
287160478,post_office,Lincoln Park Postal Store,POINT (-87.6534292 41.9256657),882664c12bfffff
306737605,fast_food,Subway,POINT (-87.6279448 41.8801353),882664c1a9fffff
306737694,fast_food,Jollibee,POINT (-87.6246715 41.8802396),882664c1a9fffff
306741002,restaurant,Bubba Gump Shrimp Company,POINT (-87.6096584 41.8914114),882664c18dfffff
306742663,pharmacy,CVS Pharmacy,POINT (-87.6275016 41.8817505),882664c1a9fffff
306744421,stationery,Staples,POINT (-87.6259067 41.8834107),882664c1a9fffff
307455970,fast_food,McDonald's,POINT (-87.6259628 41.8839093),882664c1a9fffff
308676840,fuel,Mobil,POINT (-87.6563792 41.9254868),882664c12bfffff
310690970,books,Barnes & Noble,POINT (-87.6272407 41.8780156),882664c1a9fffff
311438932,theatre,Neofuturists,POINT (-87.6693323 41.9757947),882664d883fffff
313107974,cinema,Navy Pier IMAX Theatre,POINT (-87.6092419 41.8918968),882664c1c7fffff
313771462,fast_food,Sbarro,POINT (-87.669906 41.8713984),882664ca91fffff
318274065,restaurant,Pizano's Pizza & Pasta,POINT (-87.6256688 41.8819751),882664c1a9fffff
318274413,fast_food,Jimmy John's,POINT (-87.6272156 41.8822267),882664c1a9fffff
318276729,cafe,Park Place Cafe,POINT (-87.6332051 41.9208448),882664c103fffff
345385501,fast_food,Clark Street Dog,POINT (-87.648996 41.9374643),882664c10dfffff
346210195,restaurant,Lou Malnati's Pizzeria,POINT (-87.6535647 41.9291497),882664c12bfffff
346234680,cafe,Starbucks,POINT (-87.6761596 41.9616382),882664d8b1fffff
346235240,restaurant,La Amistad,POINT (-87.6766491 41.9616342),882664d8b1fffff
347158474,pub,Midtown Kitchen & Bar,POINT (-87.6317078 41.8858768),882664c1e7fffff
347159885,cafe,Starbucks,POINT (-87.6348879 41.9113009),882664c13bfffff
347160446,restaurant,Twin Anchors Restaurant & Tavern,POINT (-87.638378 41.9127223),882664c13bfffff
