h3_index,poi_category,poi_count,count_poi_types,poi_type_list,poi_list
8826641917fffff,civic_community,3,2,"place_of_worship, community_centre, place_of_worship","Saint Columba Roman Catholic Church, Hegewisch Community Center, Saint Hedwig Church"
8826641917fffff,education,2,1,"school, school","Henry Clay Elementary School, Saint Columba School"
8826641917fffff,nightlife,2,1,"bar, bar","Club 81 Too, Uncle Bobby's"
8826641917fffff,transport,1,1,bicycle_rental,Ave O & 134th St
882664191dfffff,civic_community,1,1,information,Visitors Center
8826641927fffff,civic_community,1,1,fire_station,Chicago Fire Department Engine Company 80
8826641927fffff,entertainment,1,1,artwork,
8826641931fffff,civic_community,1,1,place_of_worship,Lebanon Lutheran Church
8826641939fffff,education,1,1,school,Virgil Grissom Elementary School
8826641939fffff,transport,1,1,bicycle_rental,Torrence Ave & 126th Pl
882664193bfffff,automotive,1,1,car_repair,Cabrales Auto Repair
882664193bfffff,civic_community,3,2,"place_of_worship, social_centre, place_of_worship","Trinity Lutheran Church, American Legion Hall Post 272, Saint Florian Catholic Church"
882664193bfffff,education,2,2,"school, library","Saint Florian School, Hegewisch Branch Library"
882664193bfffff,finance,2,1,"bank, bank","First Savings Bank of Hegewisch, Old Second National Bank"
882664193bfffff,food_drink,6,2,"restaurant, restaurant, ice_cream, restaurant, restaurant, restaurant","Doreen's Pizzeria, Chicago Pita Kitchen, Paleteria Jamay, Taquaria el Taquin, China Garden, Los Cantaritos"
882664193bfffff,grocery,2,1,"supermarket, supermarket","Eric's Food Market, Baltimore Food & Liquor"
882664193bfffff,health,1,1,veterinary,Seven Seas Pet Care Center
882664193bfffff,nightlife,2,1,"bar, bar","Steve's Lounge, Wendol's"
882664193bfffff,services,3,3,"hairdresser, post_office, funeral_directors","Supreme Cuts Barber Studio, Hegewisch Post Office, Frank F. Opyt Funeral Home"
882664193bfffff,shopping,2,2,"mobile_phone, variety_store","Boost Mobile, Family Dollar"
882664193bfffff,transport,1,1,bicycle_rental,Commercial Ave & 130th St
8826641943fffff,civic_community,1,1,social_centre,Knights of Columbus Trinity Council
8826641943fffff,education,2,1,"school, school","George Washington High School, George Washington Elementary School"
8826641943fffff,finance,1,1,bank,Byline Bank
8826641943fffff,grocery,1,1,bakery,Poopsies Pastry
8826641943fffff,leisure_sports,1,1,dojo,Champyon Taekwondo USA Inc.
8826641943fffff,services,1,1,funeral_directors,Elmwood Funeral Chapel
8826641943fffff,transport,1,1,bicycle_rental,Ave L & 114th St
8826641945fffff,food_drink,1,1,restaurant,Taco Mex
8826641949fffff,automotive,2,2,"car_repair, car_parts","East Side Muffler Shop, AutoZone"
8826641949fffff,civic_community,6,3,"place_of_worship, place_of_worship, fire_station, social_centre, place_of_worship, place_of_worship","East Side Bible Church, East Side Baptist Church, Chicago Fire Department Engine Company 74, American Legion Hall Illiana Chapter, Word Evangelistic Church, Christian Fellowship Flock"
8826641949fffff,education,3,3,"childcare, library, school","Shining Star Child Development, Vodak-East Side Branch Library, Gallistel Language Academy"
8826641949fffff,finance,3,2,"money_transfer, bank, bank","Western Union, U.S. Bank, Old National Bank"
8826641949fffff,food_drink,11,4,"fast_food, restaurant, ice_cream, restaurant, restaurant, cafe, restaurant, fast_food, ice_cream, restaurant, restaurant","Waldo Cooney's Pizza, El Charro De San Francisco, Paleteria Lindo Michoacan, New Hot Wok, Nicky'z Gyros, Colibrí Coffee, Los Tres Amigos 2, Gina's Chicken, La Michoacana Premium, Gorditas Loli's, Leon's Barbeque Zone"
8826641949fffff,grocery,4,3,"bakery, supermarket, alcohol, alcohol","La Florencia Bakery, La Flor, Ewing Liquor, Banner Liquors"
8826641949fffff,health,3,2,"pharmacy, pharmacy, clinic","Walgreens, Cornerstone Pharmacy, Chicago Family Health Center"
8826641949fffff,nightlife,3,1,"bar, bar, bar","Small World Inn Bar & Grill, O’Hara’s Tavern, Riverfront Saloon Inc"
8826641949fffff,services,8,5,"hairdresser, hairdresser, beauty, pet_grooming, beauty, travel_agency, beauty, post_office","VIP Cutz, ACE Fadezz Barbershop, Nail Art, Uncle Paws Grooming Salon, Martha's Salon, U. P. Travel & Income Tax Agency, Eastside Beauty Salon, Chicago Post Office Station W"
8826641949fffff,shopping,6,4,"mobile_phone, mobile_phone, florist, clothes, mobile_phone, chemist","T-Mobile, Boost Mobile, East Side Florist, Ocampo Western Wear, Metro by T-Mobile, Walgreens"
882664194bfffff,civic_community,3,1,"place_of_worship, place_of_worship, place_of_worship","Calvary Baptist Church, East Side United Methodist Church, Our Lady Of Nazareth Catholic Church"
882664194bfffff,education,2,1,"school, school","Jane Addams Elementary School, Annunciata School"
882664194bfffff,grocery,2,2,"supermarket, convenience","La Cienega Super Food, 7-Eleven"
882664194bfffff,health,1,1,clinic,Mohana Medical Center
8826641955fffff,civic_community,1,1,fire_station,Chicago Fire Department Engine Company 104
8826641955fffff,finance,1,1,bank,First Savings Bank of Hegewisch
8826641955fffff,food_drink,4,2,"fast_food, ice_cream, fast_food, fast_food","Subway, Baskin-Robbins, Wendy's, Dunkin'"
8826641955fffff,grocery,1,1,supermarket,Pete's Market
8826641955fffff,health,1,1,pharmacy,Walgreens
8826641955fffff,services,1,1,beauty,Love Nails
8826641955fffff,shopping,3,3,"variety_store, department_store, chemist","Dollar Tree, TJ Maxx, Walgreens"
8826641955fffff,transport,1,1,bicycle_rental,Ave O & 118th St
882664195dfffff,civic_community,1,1,place_of_worship,Serbian Saint Simeon Mirotociv Orthodox Church
882664195dfffff,leisure_sports,1,1,picnic_site,Eggers Grove Picnic Grove 2
882664195dfffff,transport,1,1,bicycle_rental,Burnham Greenway & 112th St
8826641963fffff,civic_community,1,1,information,
8826641963fffff,entertainment,1,1,museum,Ford Calumet Environmental Center (FCEC)
8826641963fffff,leisure_sports,1,1,picnic_site,
8826641963fffff,transport,1,1,bicycle_rental,Big Marsh Park
8826641969fffff,education,1,1,school,Orville Bright Elementary School
882664196bfffff,transport,1,1,bus_station,Torrence & 112th Street Terminal
88266419e1fffff,food_drink,1,1,fast_food,Burger King
88266419edfffff,automotive,2,2,"car_repair, car","Leon's Complete Auto Repair, 10th Ward Auto Sales"
88266419edfffff,civic_community,4,3,"fire_station, place_of_worship, place_of_worship, social_facility","Chicago Fire Department Engine Comany 97, Assumption Greek Orthodox Church, Hegewisch United Methodist Church, Senior Suites of Hegewisch"
88266419edfffff,food_drink,2,1,"restaurant, restaurant","Pudgy's Pizza, Gorditas Adrian's"
88266419edfffff,nightlife,2,1,"bar, bar","South Shore Inn, Old Time Tap"
88266419edfffff,shopping,1,1,hardware,Aniol's True Value Hardware
88266419edfffff,transport,1,1,bicycle_rental,Hegewisch South Shore Line Station
8826641b21fffff,automotive,2,2,"car_repair, car_parts","Jara's Auto Rebuilders, ABH Sound & Security"
8826641b21fffff,civic_community,5,2,"place_of_worship, place_of_worship, religion, place_of_worship, place_of_worship","Mighty God Tabernacle, Iglesia del Pacto Evangelico, Mirna's Gift Shop, East Side Full Gospel Church, Saint George Catholic Church"
8826641b21fffff,education,2,1,"school, school","Douglas Taylor Elementary School, Saint George School"
8826641b21fffff,entertainment,1,1,artwork,Pride Of East Side
8826641b21fffff,food_drink,2,1,"restaurant, restaurant","Avy's Pizza, El Quetzal"
8826641b21fffff,grocery,2,2,"convenience, supermarket","Super Leon, Lilly's Supermarket"
