h3_index,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
8826641917fffff,0,3,2,0,0,0,0,0,0,0,2,0,0,1
882664191dfffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8826641927fffff,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8826641931fffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8826641939fffff,0,0,1,0,0,0,0,0,0,0,0,0,0,1
882664193bfffff,1,3,2,0,2,6,2,1,0,0,2,3,2,1
8826641943fffff,0,1,2,0,1,0,1,0,1,0,0,1,0,1
8826641945fffff,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8826641949fffff,2,6,3,0,3,11,4,3,0,0,3,8,6,0
882664194bfffff,0,3,2,0,0,0,2,1,0,0,0,0,0,0
8826641955fffff,0,1,0,0,1,4,1,1,0,0,0,1,3,1
882664195dfffff,0,1,0,0,0,0,0,0,1,0,0,0,0,1
8826641963fffff,0,1,0,1,0,0,0,0,1,0,0,0,0,1
8826641969fffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0
882664196bfffff,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88266419e1fffff,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88266419edfffff,2,4,0,0,0,2,0,0,0,0,2,0,1,1
8826641b21fffff,2,5,2,1,0,2,2,0,0,0,0,0,0,0
8826641b23fffff,0,3,2,0,1,2,2,0,0,0,0,5,2,2
8826641b25fffff,1,1,1,0,0,2,2,0,0,0,2,1,0,0
8826641b29fffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8826641b2dfffff,1,1,1,1,0,2,0,0,0,0,0,0,0,0
8826641b35fffff,1,1,1,0,0,6,1,0,0,0,1,4,2,1
8826641b61fffff,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8826641b65fffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8826645201fffff,0,0,2,3,3,3,1,0,0,0,0,0,1,0
