h3_index,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
872664190ffffff,0,1,0,0,0,2,0,1,0,0,0,0,1,0
872664191ffffff,0,4,2,0,0,0,0,0,0,0,2,0,0,1
872664192ffffff,0,1,0,1,0,0,0,0,0,0,0,0,0,0
872664193ffffff,3,3,3,0,2,6,2,1,0,0,2,3,3,2
872664194ffffff,2,10,5,0,4,12,7,4,1,0,3,9,6,2
872664195ffffff,0,1,1,0,1,2,1,0,1,0,0,1,2,1
872664196ffffff,0,1,1,1,0,0,0,0,1,0,0,0,0,2
87266419effffff,0,5,0,0,0,3,0,0,0,0,2,0,0,1
8726641b2ffffff,5,11,7,2,1,8,6,0,0,0,2,6,2,2
8726641b3ffffff,1,1,1,0,0,6,1,0,0,0,1,4,2,1
8726641b6ffffff,0,1,0,1,0,0,0,0,0,0,0,0,0,1
872664520ffffff,3,8,8,4,5,11,6,2,0,0,2,3,5,2
872664521ffffff,3,7,5,0,4,12,2,1,0,0,1,0,7,1
872664522ffffff,1,2,0,1,1,12,3,2,0,1,2,2,3,1
872664523ffffff,0,1,6,1,2,3,3,1,0,0,0,0,3,1
872664525ffffff,10,13,7,1,5,15,7,2,0,1,3,5,10,17
872664528ffffff,2,2,3,0,3,8,1,1,1,2,0,0,7,3
872664529ffffff,0,3,1,0,0,2,0,0,0,0,0,0,0,1
87266452cffffff,1,1,1,1,0,13,3,2,0,1,0,2,15,1
87266452dffffff,3,9,10,0,1,4,5,0,0,0,1,2,2,11
872664560ffffff,4,47,13,2,6,10,7,5,0,0,0,0,7,13
872664561ffffff,0,7,2,0,0,0,4,0,0,0,1,0,0,3
872664562ffffff,0,13,5,0,2,5,2,1,1,0,2,1,11,5
872664563ffffff,1,3,3,1,0,1,1,0,0,0,1,0,1,5
872664564ffffff,1,39,12,0,2,9,3,1,0,1,0,1,8,6
872664565ffffff,4,20,5,7,1,10,5,4,0,0,1,1,4,6
872664566ffffff,1,23,11,3,5,7,6,2,0,0,0,2,3,11
87266456cffffff,0,8,6,1,0,0,0,0,1,0,0,4,0,1
87266456effffff,0,0,2,0,0,0,0,0,0,0,0,1,0,1
872664570ffffff,2,7,6,0,3,3,3,3,0,0,1,2,5,5
872664571ffffff,0,1,1,0,1,1,0,1,0,0,0,0,2,1
872664574ffffff,1,4,7,0,0,6,2,0,0,0,0,0,2,2
872664575ffffff,2,17,7,3,2,11,7,1,0,0,5,2,2,5
872664576ffffff,0,0,0,0,1,1,0,1,0,0,0,1,0,1
872664c10ffffff,0,26,15,84,12,210,28,29,5,2,50,33,54,22
872664c11ffffff,0,2,3,34,0,2,0,0,4,0,1,0,0,4
872664c12ffffff,13,14,28,14,11,104,22,20,5,1,37,41,66,29
872664c13ffffff,9,21,14,30,16,148,33,28,8,3,36,57,84,36
872664c14ffffff,0,5,2,2,0,2,1,0,2,0,0,0,1,0
872664c16ffffff,9,37,18,51,13,184,37,27,3,5,80,53,58,34
872664c18ffffff,0,4,0,27,0,11,1,1,12,0,1,3,2,14
872664c1affffff,3,40,32,164,67,481,58,40,2,42,47,78,138,83
872664c1bffffff,5,15,8,51,5,53,8,10,0,5,13,16,5,20
872664c1cffffff,0,3,0,28,0,11,2,0,0,1,11,8,2,10
872664c1effffff,15,39,24,82,36,538,49,46,11,97,119,54,212,72
872664c32ffffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0
872664c80ffffff,0,63,13,1,0,10,8,1,0,0,0,0,10,15
872664c81ffffff,2,50,12,1,1,4,9,1,0,0,1,4,5,17
872664c83ffffff,2,13,8,0,0,6,2,2,0,0,2,2,4,8
872664c84ffffff,6,15,13,2,4,20,11,4,1,0,1,4,18,19
872664c85ffffff,3,25,15,2,4,6,12,2,0,0,0,4,7,15
872664c86ffffff,1,7,5,0,2,6,3,1,0,0,0,3,3,3
872664c88ffffff,3,21,15,2,4,8,11,3,0,0,2,3,7,11
872664c89ffffff,1,2,4,2,0,4,3,0,0,0,0,0,1,4
872664c8bffffff,0,3,1,0,0,0,2,0,0,1,0,2,8,1
872664c8cffffff,0,75,22,3,1,15,7,9,1,0,0,3,5,15
872664c8dffffff,3,45,20,10,12,20,14,12,1,0,1,0,14,16
872664c8effffff,0,1,0,0,0,0,0,0,0,0,0,0,0,0
872664c95ffffff,0,0,0,0,2,3,0,3,0,0,0,1,2,1
872664ca0ffffff,10,14,16,20,11,81,45,10,2,0,28,23,33,18
872664ca1ffffff,9,44,18,14,11,172,43,21,4,1,51,44,74,35
872664ca2ffffff,7,19,15,0,5,31,18,7,0,1,0,6,14,18
872664ca3ffffff,10,31,15,13,4,34,36,10,2,1,8,10,28,13
872664ca4ffffff,5,31,12,5,6,63,33,4,6,0,18,10,25,14
872664ca5ffffff,4,19,19,16,3,70,19,17,5,0,21,22,38,21
872664ca6ffffff,15,24,7,8,11,60,14,22,2,1,13,22,32,17
872664ca8ffffff,9,28,25,23,11,48,15,10,0,0,12,14,23,17
872664ca9ffffff,3,43,30,17,7,92,15,26,2,6,11,8,10,27
872664caaffffff,1,53,21,9,4,7,11,7,0,0,1,3,16,18
872664cabffffff,4,48,18,57,1,19,8,5,0,0,1,0,6,17
872664cacffffff,14,54,31,15,14,232,40,29,7,5,56,50,127,30
872664cadffffff,10,19,25,25,14,238,37,22,1,4,55,44,64,41
872664caeffffff,4,37,17,18,8,38,21,8,0,0,10,10,27,14
872664cb0ffffff,4,11,6,1,7,31,9,8,0,0,5,7,10,11
872664cb1ffffff,4,26,11,5,8,34,27,7,3,0,4,9,32,20
872664cb2ffffff,1,5,5,0,2,4,0,0,0,0,3,1,0,5
872664cb3ffffff,9,6,4,0,3,5,7,1,0,0,3,3,3,5
872664cb4ffffff,3,8,10,2,4,16,9,5,1,0,3,12,5,7
872664cb5ffffff,9,19,17,2,2,24,12,5,0,0,4,7,12,18
872664cb6ffffff,0,0,0,0,0,0,0,0,0,0,0,1,0,1
872664cc0ffffff,2,46,9,9,1,7,13,2,0,1,1,5,4,13
872664cc1ffffff,6,47,17,5,5,16,13,3,1,1,4,12,5,15
872664cc2ffffff,1,74,11,4,6,9,9,8,0,0,0,2,12,15
872664cc3ffffff,1,40,11,4,3,17,19,1,0,0,1,0,6,23
872664cc4ffffff,2,39,16,39,9,35,10,11,1,0,2,12,17,14
872664cc5ffffff,0,32,23,34,11,53,12,6,8,1,3,12,17,19
872664cc6ffffff,1,19,12,1,1,10,7,4,0,0,0,1,9,11
