geoid10,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
17031010100,0,3,1,0,2,2,1,0,0,0,0,1,1,2
17031010201,0,1,2,0,1,7,1,0,0,0,1,2,3,2
17031010202,1,2,1,5,3,5,5,1,0,0,0,2,9,4
17031010300,1,4,1,7,0,2,3,0,0,1,3,3,1,2
17031010400,0,4,3,7,1,9,3,0,0,0,2,0,2,1
17031010501,0,1,0,1,1,2,2,0,0,0,0,0,1,2
17031010502,0,5,0,2,1,8,0,0,0,0,0,0,0,1
17031010503,0,3,2,1,2,12,0,0,0,2,1,1,3,1
17031010600,0,3,2,24,0,7,4,0,0,0,3,3,4,1
17031010701,0,1,0,0,0,0,0,1,0,0,0,2,1,1
17031010702,0,5,3,0,2,18,5,1,0,0,1,3,8,2
17031020100,5,3,1,2,1,8,6,2,0,0,1,7,7,5
17031020200,4,6,2,0,3,10,5,3,0,0,1,6,9,1
17031020301,0,13,3,1,0,1,1,0,0,0,0,0,0,3
17031020302,2,7,3,2,1,2,2,0,0,0,0,0,1,2
17031020400,1,4,2,0,1,6,1,0,0,0,1,4,0,1
17031020500,1,1,0,0,2,5,7,0,0,0,0,3,0,2
17031020601,1,9,3,0,1,2,4,1,0,0,0,0,1,1
17031020602,4,2,0,0,2,4,7,0,0,0,0,0,5,0
17031020701,0,4,4,0,1,5,1,1,0,1,0,0,0,3
17031020702,1,8,2,1,2,7,2,1,0,0,0,2,3,0
17031020801,2,4,4,0,0,3,2,0,0,2,2,1,1,5
17031020802,1,7,2,0,1,15,4,0,0,0,1,2,9,5
17031020901,2,1,1,1,2,4,3,0,0,0,1,0,1,1
17031020902,1,3,0,0,0,5,3,0,0,0,0,2,1,4
17031030101,0,1,0,1,0,5,3,0,0,0,0,2,4,0
17031030102,1,2,0,4,1,7,2,1,0,0,1,1,0,0
17031030103,1,1,1,0,0,6,1,1,0,0,0,0,1,1
17031030104,0,0,0,2,1,1,0,0,0,0,0,0,1,0
17031030200,1,4,4,2,1,16,2,4,0,0,4,6,9,0
17031030300,0,3,0,0,0,4,4,0,0,0,4,3,2,2
17031030400,2,0,0,2,0,7,1,1,0,1,0,1,0,1
17031030500,0,5,2,1,2,12,1,1,0,0,1,3,4,2
17031030601,0,0,1,1,0,0,0,0,0,0,0,0,0,1
