commarea,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
1,3,35,18,49,13,83,30,6,0,3,16,24,41,25
10,7,30,19,1,13,32,14,11,3,3,9,15,13,10
11,9,18,7,7,14,31,17,21,1,0,9,24,16,12
12,3,23,9,3,5,21,9,6,0,1,2,17,12,10
13,9,22,18,6,1,41,7,6,3,3,2,9,14,15
14,3,27,12,2,10,63,29,4,2,1,6,5,27,8
15,16,32,28,11,17,73,32,32,1,1,12,35,46,31
16,16,33,17,4,6,72,27,8,6,0,31,18,25,27
17,5,19,19,3,11,41,13,7,1,0,8,9,13,21
18,10,7,4,0,2,4,7,3,0,0,3,4,6,6
19,13,47,28,5,12,62,39,11,2,1,3,14,47,35
2,25,72,27,7,17,77,48,8,0,3,7,27,38,33
20,2,13,6,1,2,12,14,3,0,0,3,5,7,11
21,9,14,15,20,12,74,39,10,4,0,27,20,33,23
22,23,59,33,42,15,240,85,37,10,5,74,62,133,48
23,6,56,27,4,12,32,28,9,0,0,6,9,33,22
24,29,82,58,52,21,333,66,46,5,3,81,70,154,50
25,9,140,42,5,7,41,30,11,1,0,3,13,34,58
26,1,29,8,1,4,3,6,1,0,0,1,4,11,9
27,1,61,25,12,1,7,7,4,0,0,2,1,11,18
28,12,85,70,58,40,444,67,61,4,16,64,90,116,108
29,2,116,28,60,2,20,9,13,1,0,0,4,7,24
3,6,35,20,28,19,125,41,22,5,4,24,35,53,21
30,5,48,35,13,17,30,26,15,1,0,3,1,24,25
31,6,24,28,31,11,93,32,9,3,0,16,15,37,24
32,0,29,25,194,57,431,46,32,9,54,54,47,109,69
33,6,16,10,57,7,59,10,12,1,5,13,16,5,21
34,0,16,10,20,8,80,22,3,1,2,8,15,14,10
35,2,21,21,9,6,23,7,5,0,1,2,4,6,19
36,0,6,4,5,0,0,0,2,0,0,1,0,1,0
37,1,3,2,1,1,7,5,1,0,0,0,0,8,8
38,1,42,24,21,4,23,9,6,1,1,1,7,15,12
39,1,13,8,8,2,19,5,2,0,1,0,10,7,9
4,5,30,19,11,8,104,28,7,2,3,16,14,28,27
40,1,38,8,15,0,11,6,1,0,0,1,0,1,8
41,1,27,17,27,22,102,15,13,6,2,7,29,34,17
42,2,40,17,24,2,14,15,3,3,2,2,6,5,19
43,6,49,24,10,5,39,21,6,1,0,3,25,25,20
44,5,39,17,1,12,29,17,5,1,1,2,5,36,19
45,1,13,7,2,2,8,7,1,0,1,0,3,3,10
46,7,64,23,9,5,25,14,6,1,0,1,7,16,12
47,0,6,3,0,0,0,0,1,0,0,0,2,0,1
48,8,14,9,1,2,11,2,6,0,2,1,2,6,4
49,3,80,28,9,7,17,11,6,0,1,0,3,12,23
5,7,23,20,11,11,104,26,29,2,0,35,44,52,21
50,4,10,6,6,1,11,4,3,0,0,1,3,4,10
51,6,18,8,2,5,20,10,3,1,0,2,1,9,12
52,6,20,13,2,5,22,12,4,1,0,4,18,10,5
53,2,47,15,1,4,6,8,1,0,0,1,0,7,15
54,0,8,9,1,0,0,2,0,1,0,1,5,0,3
55,3,13,5,0,3,13,3,2,1,0,6,4,6,5
56,15,33,16,7,18,67,21,6,1,3,9,10,29,22
57,6,7,8,0,6,11,8,2,0,1,4,6,13,13
58,6,14,22,0,6,22,18,8,0,0,6,4,18,21
59,3,13,9,1,4,18,10,5,0,0,2,2,15,13
6,8,47,33,69,19,321,53,44,7,7,113,68,96,49
60,4,21,18,6,9,49,12,3,1,2,8,9,21,19
61,8,26,27,4,6,26,19,10,0,0,5,7,22,24
62,2,3,5,0,5,14,11,3,1,1,2,2,8,6
63,5,16,18,1,4,18,19,2,1,0,1,10,10,14
64,3,7,11,3,6,22,7,2,0,0,2,1,9,2
65,6,11,11,4,4,21,10,4,0,1,0,3,21,12
66,14,39,21,4,6,18,21,3,0,0,0,5,11,26
67,2,90,21,2,3,5,14,0,0,0,0,1,11,20
68,2,75,22,4,5,10,14,10,0,0,0,3,10,25
69,2,69,22,5,7,19,25,2,1,2,6,5,8,31
7,8,44,35,129,27,252,38,37,17,2,69,82,101,48
70,8,24,18,0,6,22,10,3,15,2,1,4,13,21
71,1,75,31,2,2,15,18,2,0,0,0,4,10,27
72,3,17,9,5,4,22,5,5,3,0,3,3,6,8
73,1,31,19,1,4,9,7,4,0,3,1,2,6,17
74,3,10,12,0,4,10,5,4,0,0,1,3,7,8
75,4,29,14,3,4,17,9,4,1,0,4,1,15,13
76,1,54,3,6,28,105,30,4,8,3,20,42,55,26
77,7,30,14,29,10,120,34,21,1,1,21,25,66,16
8,19,52,29,102,34,527,63,50,18,81,125,80,232,98
9,2,4,3,0,1,11,1,0,0,0,1,2,1,1
